interference_regime,load_regime,compared_to,sit_cvar99,baseline_cvar99,cvar_improvement_pct,sit_effective_goodput_rps,baseline_effective_goodput_rps,goodput_improvement_pct,sit_catastrophes,baseline_catastrophes,fewer_catastrophes,sit_dominates
iid_noise,high,partition,8950.83,3382.65,-164.61,11598.51,9400.35,23.38,0,0,True,False
iid_noise,high,spread,8950.83,6979.92,-28.24,11598.51,7984.71,45.26,0,0,True,False
iid_noise,high,random,8950.83,14391.67,37.81,11598.51,7225.04,60.53,0,0,True,True
iid_noise,high,round-robin,8950.83,14626.79,38.81,11598.51,7123.71,62.82,0,0,True,True
iid_noise,high,binpack-greedy,8950.83,18800.78,52.39,11598.51,5335.45,117.39,0,0,True,True
iid_noise,high,tail-greedy,8950.83,8932.64,-0.2,11598.51,11603.54,-0.04,0,0,True,False
iid_noise,high,similarity-avoidance,8950.83,10870.16,17.66,11598.51,9575.46,21.13,0,0,True,True
iid_noise,high,admission-only,8950.83,14884.69,39.87,11598.51,6954.19,66.78,0,0,True,True
iid_noise,high,oracle,8950.83,8944.66,-0.07,11598.51,11602.72,-0.04,0,0,True,False
iid_noise,high,static-low,8950.83,5456.72,-64.03,11598.51,10227.63,13.4,0,0,True,False
iid_noise,high,static-high,8950.83,23280.75,61.55,11598.51,7499.59,54.66,0,0,True,True
iid_noise,high,k8s-hpa,8950.83,11183.95,19.97,11598.51,10832.87,7.07,0,0,True,True
iid_noise,high,k8s-default,8950.83,9807.44,8.73,11598.51,10730.51,8.09,0,0,True,True
iid_noise,high,slurm-fcfs,8950.83,14604.27,38.71,11598.51,7129.53,62.68,0,0,True,True
iid_noise,high,triton-proxy,8950.83,19888.21,54.99,11598.51,5167.62,124.45,0,0,True,True
iid_noise,low,SIT-no-IRBS,3056.9,4091.7,25.29,11944.87,8800.61,35.73,0,0,True,True
iid_noise,low,SIT-no-safety,3056.9,4686.35,34.77,11944.87,11166.33,6.97,0,0,True,True
iid_noise,low,SIT-no-admission,3056.9,3835.49,20.3,11944.87,11567.92,3.26,0,0,True,True
iid_noise,low,partition,3056.9,1199.85,-154.77,11944.87,10560.46,13.11,0,0,True,False
iid_noise,low,spread,3056.9,2449.25,-24.81,11944.87,8169.38,46.22,0,0,True,False
iid_noise,low,random,3056.9,4938.93,38.11,11944.87,7213.97,65.58,0,0,True,True
iid_noise,low,round-robin,3056.9,4959.3,38.36,11944.87,7242.69,64.92,0,0,True,True
iid_noise,low,binpack-greedy,3056.9,6346.88,51.84,11944.87,5394.83,121.41,0,0,True,True
iid_noise,low,tail-greedy,3056.9,3057.58,0.02,11944.87,11941.31,0.03,0,0,True,True
iid_noise,low,similarity-avoidance,3056.9,3699.76,17.38,11944.87,9804.3,21.83,0,0,True,True
iid_noise,low,admission-only,3056.9,5043.47,39.39,11944.87,7053.03,69.36,0,0,True,True
iid_noise,low,oracle,3056.9,3055.0,-0.06,11944.87,11941.78,0.03,0,0,True,True
iid_noise,low,static-low,3056.9,1891.51,-61.61,11944.87,10829.3,10.3,0,0,True,False
iid_noise,low,static-high,3056.9,7847.76,61.05,11944.87,7558.56,58.03,0,0,True,True
iid_noise,low,k8s-hpa,3056.9,3797.2,19.5,11944.87,11088.14,7.73,0,0,True,True
iid_noise,low,k8s-default,3056.9,3344.0,8.59,11944.87,11027.48,8.32,0,0,True,True
iid_noise,low,slurm-fcfs,3056.9,4946.08,38.2,11944.87,7249.93,64.76,0,0,True,True
iid_noise,low,triton-proxy,3056.9,6715.04,54.48,11944.87,5223.01,128.7,0,0,True,True
iid_noise,medium,SIT-no-IRBS,6029.21,8180.41,26.3,11644.79,8571.54,35.85,0,0,True,True
iid_noise,medium,SIT-no-safety,6029.21,9293.11,35.12,11644.79,10994.68,5.91,0,0,True,True
iid_noise,medium,SIT-no-admission,6029.21,7594.24,20.61,11644.79,11344.9,2.64,0,0,True,True
